timestamp,quaternion x,quaternion y,quaternion z,quaternion w,pitch (in radians),roll (in radians),yaw (in radians)
1454978651.657170,0.001413,0.008350,-0.000002,0.999964,0.002825,0.016700,-0.000028
1454978651.677129,0.001340,0.008421,-0.000008,0.999964,0.002680,0.016843,-0.000039
1454978651.697118,0.001430,0.008640,-0.000013,0.999962,0.002859,0.017281,-0.000051
1454978651.717107,0.001494,0.008811,-0.000021,0.999960,0.002987,0.017623,-0.000068
1454978651.737096,0.001502,0.008853,-0.000029,0.999960,0.003004,0.017706,-0.000085
1454978651.757085,0.001506,0.008942,-0.000040,0.999959,0.003012,0.017884,-0.000107
1454978651.777043,0.001542,0.009031,-0.000048,0.999958,0.003082,0.018063,-0.000123
1454978651.797032,0.001426,0.009107,-0.000052,0.999958,0.002851,0.018214,-0.000129
1454978651.817021,0.001399,0.009116,-0.000063,0.999957,0.002797,0.018233,-0.000151
1454978651.837010,0.001424,0.009180,-0.000068,0.999957,0.002847,0.018360,-0.000162
1454978651.856999,0.001509,0.009262,-0.000078,0.999956,0.003017,0.018525,-0.000184
1454978651.876958,0.001480,0.009318,-0.000084,0.999955,0.002959,0.018637,-0.000195
1454978651.896947,0.001471,0.009332,-0.000097,0.999955,0.002939,0.018665,-0.000222
1454978651.916936,0.001504,0.009329,-0.000110,0.999955,0.003006,0.018659,-0.000249
1454978651.936925,0.001579,0.009332,-0.000123,0.999955,0.003157,0.018665,-0.000276
1454978651.956914,0.001559,0.009402,-0.000137,0.999955,0.003115,0.018805,-0.000303
1454978651.976872,0.001501,0.009453,-0.000146,0.999954,0.002998,0.018908,-0.000320
1454978651.996861,0.001490,0.009482,-0.000154,0.999954,0.002977,0.018965,-0.000336
1454978652.016850,0.001517,0.009528,-0.000170,0.999953,0.003032,0.019057,-0.000368
1454978652.036839,0.001558,0.009560,-0.000180,0.999953,0.003112,0.019120,-0.000390
1454978652.056828,0.001572,0.009616,-0.000193,0.999953,0.003141,0.019234,-0.000417
1454978652.076787,0.001552,0.009636,-0.000210,0.999952,0.003100,0.019273,-0.000449
1454978652.096776,0.001493,0.009655,-0.000216,0.999952,0.002983,0.019312,-0.000460
1454978652.116765,0.001494,0.009645,-0.000237,0.999952,0.002984,0.019291,-0.000503
1454978652.136754,0.001532,0.009697,-0.000242,0.999952,0.003059,0.019394,-0.000514
1454978652.156743,0.001565,0.009724,-0.000253,0.999951,0.003126,0.019450,-0.000535
1454978652.176701,0.001559,0.009727,-0.000271,0.999951,0.003112,0.019456,-0.000573
1454978652.196690,0.001532,0.009750,-0.000282,0.999951,0.003058,0.019502,-0.000594
1454978652.216679,0.001523,0.009778,-0.000296,0.999951,0.003041,0.019558,-0.000621
1454978652.236668,0.001530,0.009813,-0.000312,0.999951,0.003053,0.019627,-0.000653
1454978652.256657,0.001551,0.009808,-0.000317,0.999951,0.003095,0.019618,-0.000664
1454978652.276616,0.001520,0.009803,-0.000336,0.999951,0.003033,0.019608,-0.000701
1454978652.296605,0.001510,0.009834,-0.000347,0.999950,0.003013,0.019669,-0.000723
1454978652.316594,0.001529,0.009868,-0.000355,0.999950,0.003050,0.019738,-0.000739
1454978652.336583,0.001552,0.009870,-0.000368,0.999950,0.003096,0.019741,-0.000766
1454978652.356572,0.001567,0.009879,-0.000378,0.999950,0.003126,0.019759,-0.000788
1454978652.376530,0.001545,0.009894,-0.000397,0.999950,0.003082,0.019789,-0.000825
1454978652.396519,0.001536,0.009920,-0.000408,0.999950,0.003064,0.019841,-0.000847
1454978652.416508,0.001529,0.009969,-0.000421,0.999949,0.003050,0.019941,-0.000873
1454978652.436498,0.001512,0.010002,-0.000427,0.999949,0.003016,0.020005,-0.000884
1454978652.456487,0.001508,0.010017,-0.000443,0.999949,0.003008,0.020035,-0.000916
1454978652.476445,0.001502,0.010040,-0.000454,0.999948,0.002994,0.020081,-0.000938
1454978652.496434,0.001512,0.010062,-0.000464,0.999948,0.003015,0.020127,-0.000959
1454978652.516423,0.001513,0.010061,-0.000470,0.999948,0.003016,0.020124,-0.000970
1454978652.536412,0.001490,0.010077,-0.000478,0.999948,0.002969,0.020156,-0.000986
1454978652.556401,0.001486,0.010121,-0.000483,0.999948,0.002963,0.020244,-0.000997
1454978652.576390,0.001489,0.010110,-0.000497,0.999948,0.002968,0.020223,-0.001024
1454978652.596337,0.001508,0.010143,-0.000505,0.999947,0.003005,0.020289,-0.001040
1454978652.616326,0.001523,0.010162,-0.000510,0.999947,0.003035,0.020325,-0.001051
1454978652.636315,0.001518,0.010192,-0.000526,0.999947,0.003026,0.020386,-0.001082
